data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	
D00035	1.0	0.74653	0.68534	0.73182	0.70386	0.60227	0.67481	0.63158	0.63482	0.66985	0.66727	0.63287	0.61464	0.60919	0.66046	0.6673	0.61595	0.66046	0.64784	0.59653	0.68861	0.68475	0.66092	0.64874	0.65961	0.67935	0.71055	0.59139	0.65024	0.68191	0.64823	0.61619	0.69504	0.66712	0.65454	0.64864	0.6884	0.67718	0.64038	0.7089	0.61517	0.6318	0.67201	0.64936	0.59696	0.60001	0.63103	0.67923	0.66611	0.61211	0.66422	0.66576	0.62913	0.61043	0.64768	0.66712	0.67089	0.7023	0.62736	0.53016	
D00110	0.49957	1.0	0.55404	0.70605	0.55464	0.49757	0.56194	0.47482	0.53717	0.54254	0.60614	0.54356	0.56194	0.47495	0.57497	0.59251	0.5431	0.61957	0.54089	0.44032	0.54406	0.59829	0.60409	0.5431	0.50734	0.58176	0.71363	0.44584	0.51401	0.59136	0.51559	0.50128	0.47181	0.55397	0.45614	0.54646	0.44618	0.58507	0.58613	0.5662	0.60723	0.48914	0.55757	0.55767	0.49539	0.47058	0.52405	0.51622	0.53443	0.50106	0.50128	0.67942	0.47831	0.48593	0.50045	0.59926	0.58471	0.63922	0.49368	0.44818	
D00136	0.44998	0.59503	1.0	0.59314	0.53315	0.6114	0.65027	0.55271	0.70964	0.58452	0.78808	0.67534	0.60735	0.57086	0.69778	0.60631	0.62222	0.69817	0.61928	0.49291	0.64105	0.6512	0.68058	0.58397	0.6039	0.60811	0.71504	0.56272	0.61328	0.6811	0.75124	0.54457	0.5283	0.67352	0.47229	0.67864	0.47226	0.60838	0.6399	0.60469	0.56875	0.63308	0.58319	0.62191	0.59945	0.5089	0.54985	0.54056	0.68258	0.58845	0.57583	0.6712	0.47253	0.53266	0.63686	0.5979	0.57901	0.6314	0.51534	0.48304	
D00195	0.45502	0.64663	0.49188	1.0	0.48944	0.46044	0.51877	0.47924	0.5216	0.41172	0.51289	0.46044	0.47496	0.42073	0.48676	0.50215	0.44999	0.47553	0.43735	0.41057	0.51357	0.55116	0.4723	0.42238	0.47269	0.51762	0.61269	0.42337	0.44411	0.49158	0.459	0.47346	0.48629	0.44961	0.38636	0.444	0.46205	0.4898	0.53492	0.45939	0.4859	0.44588	0.42492	0.4442	0.42804	0.39754	0.45245	0.39754	0.43717	0.4631	0.41602	0.53444	0.43288	0.44127	0.44959	0.4313	0.42681	0.59004	0.37933	0.39745	
D00219	0.48479	0.6343	0.56936	0.61771	1.0	0.52169	0.64568	0.57601	0.56254	0.54787	0.65764	0.50668	0.61327	0.64564	0.59369	0.59793	0.66093	0.63454	0.62813	0.54616	0.91211	0.80596	0.62056	0.61977	0.622	0.64677	0.68557	0.52346	0.5096	0.60663	0.52156	0.56662	0.87623	0.58959	0.50847	0.47001	0.62209	0.65936	0.68902	0.57701	0.52835	0.58496	0.5795	0.50887	0.54337	0.55569	0.63668	0.52782	0.54207	0.49515	0.61081	0.71527	0.49458	0.58946	0.59027	0.60418	0.57011	0.66442	0.49964	0.5131	
D00225	0.39773	0.60114	0.67477	0.59546	0.55157	1.0	0.64607	0.63498	0.7377	0.58739	0.69241	0.64902	0.58206	0.57162	0.6355	0.63579	0.61921	0.64856	0.59058	0.43348	0.68921	0.67656	0.62154	0.52694	0.63499	0.63532	0.70306	0.62314	0.57662	0.67398	0.72585	0.6253	0.50804	0.57223	0.46923	0.62375	0.48543	0.63602	0.65514	0.57393	0.65903	0.75037	0.54602	0.57677	0.5983	0.47484	0.48543	0.50498	0.62937	0.59253	0.51773	0.63743	0.45468	0.60175	0.66306	0.60283	0.5507	0.62677	0.52042	0.4288	
D00227	0.40011	0.507	0.55413	0.52552	0.52207	0.50742	1.0	0.47775	0.54185	0.51104	0.58479	0.52067	0.52943	0.50744	0.54336	0.55122	0.51152	0.54875	0.53771	0.42292	0.56087	0.56126	0.53571	0.53134	0.57035	0.56755	0.61595	0.52468	0.48075	0.52634	0.50206	0.48103	0.49527	0.52149	0.46661	0.50046	0.46582	0.53806	0.57545	0.56238	0.52356	0.53722	0.51003	0.49061	0.5183	0.49361	0.4957	0.4657	0.49848	0.51989	0.51481	0.56844	0.47549	0.53886	0.55632	0.52119	0.47847	0.52803	0.47838	0.45448	
D00228	0.44414	0.60228	0.63629	0.64668	0.63575	0.66728	0.637	1.0	0.7162	0.56728	0.68189	0.55924	0.61449	0.55165	0.56947	0.58846	0.60191	0.64869	0.60657	0.48304	0.70163	0.70822	0.63505	0.56912	0.63748	0.59169	0.68723	0.52548	0.49049	0.61017	0.56963	0.87703	0.63509	0.55028	0.48864	0.54178	0.55674	0.62557	0.63723	0.68071	0.54687	0.56301	0.52328	0.52344	0.56403	0.49425	0.48963	0.49425	0.4959	0.50781	0.5707	0.67725	0.47282	0.56728	0.59243	0.58409	0.51121	0.63773	0.46161	0.44414	
D00234	0.38635	0.53717	0.6683	0.56886	0.47491	0.63414	0.59122	0.58874	1.0	0.54323	0.61746	0.63414	0.55062	0.49795	0.65249	0.56005	0.56575	0.5856	0.55118	0.40635	0.59682	0.65895	0.54782	0.49885	0.5819	0.57969	0.72954	0.51308	0.53527	0.62857	0.66244	0.5922	0.50509	0.55397	0.42148	0.61543	0.4671	0.57418	0.61142	0.5439	0.57291	0.58075	0.50095	0.55767	0.58562	0.43662	0.46848	0.45961	0.57937	0.55767	0.4903	0.67071	0.43337	0.52024	0.567	0.53271	0.49379	0.56316	0.48201	0.42519	
D00252	0.52759	0.7178	0.72936	0.62101	0.66736	0.68427	0.71706	0.63757	0.71849	1.0	0.72947	0.77403	0.71847	0.59872	0.67962	0.71061	0.68683	0.81317	0.75422	0.47436	0.6821	0.67994	0.80397	0.68752	0.69155	0.71935	0.73787	0.56176	0.60348	0.81864	0.72184	0.63769	0.54344	0.60065	0.4797	0.8673	0.48128	0.70399	0.6948	0.68427	0.68838	0.70764	0.60595	0.57169	0.7591	0.44877	0.52033	0.68953	0.69795	0.65817	0.70239	0.70876	0.48093	0.53559	0.72311	0.94706	0.69054	0.6202	0.70994	0.44734	
D00274	0.42032	0.60614	0.74825	0.5723	0.57957	0.58885	0.63973	0.55443	0.61746	0.55421	1.0	0.59058	0.64154	0.58818	0.60824	0.62799	0.63368	0.69882	0.57417	0.47429	0.58744	0.62862	0.67237	0.54345	0.68553	0.5694	0.71388	0.53538	0.59347	0.58315	0.64083	0.55824	0.55107	0.61058	0.46712	0.61543	0.46744	0.57451	0.62969	0.55557	0.58562	0.625	0.58021	0.6486	0.58458	0.49357	0.55802	0.51622	0.56839	0.53538	0.52496	0.69929	0.48963	0.55421	0.56839	0.61093	0.55005	0.60177	0.48201	0.47082	
D00283	0.42833	0.64712	0.73871	0.60762	0.53655	0.64902	0.67175	0.52694	0.7377	0.68791	0.69414	1.0	0.62843	0.57209	0.68818	0.65988	0.66418	0.74025	0.64418	0.4728	0.65684	0.65603	0.67846	0.55754	0.65994	0.63674	0.74273	0.5471	0.61903	0.80265	0.65028	0.53256	0.5516	0.6033	0.485	0.76192	0.46966	0.62614	0.65571	0.58969	0.6595	0.6289	0.59239	0.66857	0.6762	0.50544	0.56193	0.55913	0.6595	0.65327	0.57752	0.70574	0.46905	0.55678	0.67765	0.65886	0.57519	0.62677	0.58988	0.48953	
D00293	0.43359	0.69736	0.70692	0.65049	0.68298	0.62512	0.68738	0.6262	0.68604	0.64605	0.77697	0.67149	1.0	0.71486	0.64057	0.65384	0.70844	0.80099	0.63602	0.50008	0.69421	0.74195	0.80488	0.61752	0.70692	0.64215	0.69735	0.57864	0.60196	0.6531	0.62519	0.64084	0.65707	0.64693	0.53144	0.60123	0.55886	0.64212	0.66905	0.61076	0.72762	0.59195	0.70279	0.66969	0.52333	0.52163	0.56728	0.61509	0.62416	0.56728	0.55301	0.73988	0.47977	0.62856	0.60109	0.69768	0.66688	0.63119	0.58146	0.52042	
D00294	0.46694	0.65021	0.7157	0.63002	0.76513	0.6685	0.7082	0.62194	0.6732	0.59872	0.76344	0.66897	0.77521	1.0	0.65225	0.68652	0.65371	0.78621	0.6381	0.51418	0.74554	0.75008	0.77593	0.6724	0.76717	0.68469	0.69709	0.57829	0.56304	0.7157	0.65524	0.6225	0.68642	0.6217	0.54182	0.5864	0.54104	0.70399	0.6948	0.63837	0.63797	0.70606	0.54282	0.56235	0.65512	0.57008	0.65817	0.50757	0.63692	0.53985	0.67152	0.68859	0.5422	0.66	0.68108	0.67537	0.54962	0.65852	0.48816	0.54905	
D00303	0.43286	0.6387	0.71588	0.60019	0.57473	0.58808	0.64828	0.4936	0.71622	0.54685	0.67197	0.64076	0.55522	0.51948	1.0	0.69873	0.56058	0.58504	0.59839	0.49172	0.68061	0.68864	0.56702	0.53362	0.64998	0.7412	0.70391	0.56404	0.63899	0.67728	0.65452	0.48465	0.55535	0.6013	0.45541	0.672	0.49664	0.72458	0.73119	0.58767	0.59524	0.56994	0.59045	0.63184	0.69001	0.50079	0.52442	0.55471	0.70349	0.65798	0.55246	0.73869	0.46955	0.50558	0.71885	0.53473	0.62277	0.65691	0.54136	0.48677	
D00319	0.43848	0.62437	0.58089	0.58316	0.54708	0.55104	0.6212	0.47829	0.58395	0.54959	0.65188	0.57513	0.5352	0.53516	0.65636	1.0	0.56334	0.57389	0.59639	0.47735	0.6306	0.64161	0.55742	0.55129	0.65242	0.87713	0.68683	0.56606	0.55353	0.71228	0.57428	0.48308	0.49991	0.57527	0.52921	0.57304	0.4697	0.86322	0.84104	0.57403	0.57023	0.55987	0.56594	0.56643	0.57023	0.51604	0.5781	0.54531	0.59468	0.54197	0.60316	0.65124	0.50572	0.51383	0.57635	0.55007	0.59409	0.62101	0.50929	0.47979	
D00326	0.42851	0.67056	0.70102	0.61877	0.72067	0.65151	0.68221	0.60191	0.69321	0.62825	0.76114	0.69647	0.69672	0.58342	0.63645	0.67351	1.0	0.75514	0.65145	0.50918	0.73269	0.73793	0.71875	0.58577	0.65152	0.64946	0.72005	0.58492	0.57272	0.70063	0.60326	0.58638	0.60998	0.63608	0.52296	0.62554	0.54958	0.6589	0.68449	0.63714	0.61347	0.63012	0.63933	0.62385	0.5958	0.5109	0.55827	0.58801	0.63063	0.55929	0.60305	0.7862	0.48896	0.55165	0.65121	0.67836	0.65442	0.64688	0.55487	0.48028	
